Food_ID,Food_Name,State,Meal_Type,Ingredients,Calories,Protein,Carbohydrates,Fat,Fiber,Iron,Calcium,Folate,Serving_Size,Vegetarian,Pregnancy_Safe,Best_Trimester,Ayurvedic_Nature
IF0001,Tamil Nadu Idli with sambar,Tamil Nadu,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0002,Tamil Nadu Millet khichdi,Tamil Nadu,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0003,Tamil Nadu Dal rice plate,Tamil Nadu,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0004,Tamil Nadu Curd rice bowl,Tamil Nadu,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0005,Tamil Nadu Vegetable roti meal,Tamil Nadu,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0006,Tamil Nadu Steamed snack plate,Tamil Nadu,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0007,Tamil Nadu Nourishing beverage,Tamil Nadu,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0008,Pongal,Tamil Nadu,Breakfast,"rice, moong dal, pepper, ghee",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0009,Karnataka Idli with sambar,Karnataka,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0010,Karnataka Millet khichdi,Karnataka,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
