Symptom,Severity,Pregnancy_Trimester,Recommended_Foods,Foods_to_Avoid,Hydration_Recommendation,Lifestyle_Tips,Recommended_Nutrients,Medical_Notes
Morning sickness,Mild,First,"dry toast, crackers, banana, mild ginger tea, lemon water","fried foods, strong smells, large meals",small sips between meals; ORS if vomiting,eat before rising; small frequent meals,"vitamin B6, fluids",seek care for persistent vomiting or low urine
Morning sickness,Moderate,First,"dry toast, crackers, banana, mild ginger tea, lemon water","fried foods, strong smells, large meals",small sips between meals; ORS if vomiting,eat before rising; small frequent meals,"vitamin B6, fluids",seek care for persistent vomiting or low urine
Morning sickness,Severe,First,"dry toast, crackers, banana, mild ginger tea, lemon water","fried foods, strong smells, large meals",small sips between meals; ORS if vomiting,eat before rising; small frequent meals,"vitamin B6, fluids",seek care for persistent vomiting or low urine; do not rely on diet alone
Morning sickness,Mild,Second,"dry toast, crackers, banana, mild ginger tea, lemon water","fried foods, strong smells, large meals",small sips between meals; ORS if vomiting,eat before rising; small frequent meals,"vitamin B6, fluids",seek care for persistent vomiting or low urine
Morning sickness,Moderate,Second,"dry toast, crackers, banana, mild ginger tea, lemon water","fried foods, strong smells, large meals",small sips between meals; ORS if vomiting,eat before rising; small frequent meals,"vitamin B6, fluids",seek care for persistent vomiting or low urine
Morning sickness,Severe,Second,"dry toast, crackers, banana, mild ginger tea, lemon water","fried foods, strong smells, large meals",small sips between meals; ORS if vomiting,eat before rising; small frequent meals,"vitamin B6, fluids",seek care for persistent vomiting or low urine; do not rely on diet alone
Morning sickness,Mild,Third,"dry toast, crackers, banana, mild ginger tea, lemon water","fried foods, strong smells, large meals",small sips between meals; ORS if vomiting,eat before rising; small frequent meals,"vitamin B6, fluids",seek care for persistent vomiting or low urine
Nausea,Mild,First,"idli, poha, applesauce, curd rice, coconut water","greasy foods, excess tea or coffee",cool fluids in small sips,avoid cooking odors; bland meals,"B6, electrolytes",review if intake is poor
Nausea,Moderate,First,"idli, poha, applesauce, curd rice, coconut water","greasy foods, excess tea or coffee",cool fluids in small sips,avoid cooking odors; bland meals,"B6, electrolytes",review if intake is poor
Nausea,Severe,First,"idli, poha, applesauce, curd rice, coconut water","greasy foods, excess tea or coffee",cool fluids in small sips,avoid cooking odors; bland meals,"B6, electrolytes",review if intake is poor; do not rely on diet alone
