Food_ID,Food_Name,Rasa,Guna,Virya,Vipaka,Vata_Effect,Pitta_Effect,Kapha_Effect,Recommended_For,Avoid_For,Pregnancy_Recommendation
AY0001,Apple,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0002,Banana,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0003,Orange,"Sour, sweet","Light, moist",Cooling,Sweet,Pacifies,May increase if sour excess,Neutral,"nausea, appetite, iron absorption support",severe reflux or acidity,Use moderate portions; choose pasteurized dairy.
AY0004,Sweet lime,"Sour, sweet","Light, moist",Cooling,Sweet,Pacifies,May increase if sour excess,Neutral,"nausea, appetite, iron absorption support",severe reflux or acidity,Use moderate portions; choose pasteurized dairy.
AY0005,Guava,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0006,Papaya ripe,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0007,Mango,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0008,Pomegranate,"Sour, sweet","Light, moist",Cooling,Sweet,Pacifies,May increase if sour excess,Neutral,"nausea, appetite, iron absorption support",severe reflux or acidity,Use moderate portions; choose pasteurized dairy.
AY0009,Watermelon,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0010,Muskmelon,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0011,Pear,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0012,Peach,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0013,Plum,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0014,Kiwi,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0015,Strawberries,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0016,Blueberries,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0017,Grapes,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0018,Chikoo,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0019,Custard apple,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
